route,week_of,cost_per_tonne_km,vs_own_history,vs_similar_routes,flagged,matched_note_id,reason
Ahmedabad-Mumbai,2025-01-20,3.29,+29.5% vs this route's past average,+22.5% vs similar-length routes this week,No (justified),N002,Matches note N002: A regional festival week saw a temporary surcharge applied by transporters on the Ahmedabad-Mumbai corridor due to high demand and limited truck availability. The cost rise has a clear explanation.
Chennai-Bangalore,2025-02-24,3.58,+31.5% vs this route's past average,+38.7% vs similar-length routes this week,No (justified),N001,"Matches note N001: Heavy flooding on the Chennai-Bangalore highway disrupted normal truck movement from Feb 24 to Mar 8, forcing longer detours and higher trip costs. Roads were passable again by Mar. The cost rise has a clear explanation."
Chennai-Bangalore,2025-03-03,3.48,+22.8% vs this route's past average,+32.0% vs similar-length routes this week,No (justified),N001,"Matches note N001: Heavy flooding on the Chennai-Bangalore highway disrupted normal truck movement from Feb 24 to Mar 8, forcing longer detours and higher trip costs. Roads were passable again by Mar. The cost rise has a clear explanation."
Chennai-Bangalore,2025-03-10,3.57,+22.1% vs this route's past average,+33.8% vs similar-length routes this week,Yes,,"The closest note (N001) does not justify this cost rise (it either does not apply to Chennai-Bangalore, does not cover week 2025-03-10, or does not describe a cost increase). No validated explanation found; flagged for human review."
Chennai-Bangalore,2025-03-17,3.47,+13.7% vs this route's past average,+33.5% vs similar-length routes this week,Yes,,"The closest note (N001) does not justify this cost rise (it either does not apply to Chennai-Bangalore, does not cover week 2025-03-17, or does not describe a cost increase). No validated explanation found; flagged for human review."
Delhi-Jaipur,2024-11-11,4.17,+35.5% vs this route's past average,+21.0% vs similar-length routes this week,Yes,,"The closest note (N003) does not justify this cost rise (it either does not apply to Delhi-Jaipur, does not cover week 2024-11-11, or does not describe a cost increase). No validated explanation found; flagged for human review."
Delhi-Jaipur,2024-11-18,4.09,+27.6% vs this route's past average,+19.7% vs similar-length routes this week,Yes,,"The closest note (N003) does not justify this cost rise (it either does not apply to Delhi-Jaipur, does not cover week 2024-11-18, or does not describe a cost increase). No validated explanation found; flagged for human review."
Mumbai-Pune,2025-06-23,3.76,+6.2% vs this route's past average,+20.6% vs similar-length routes this week,No (justified),N003,"Matches note N003: Diesel prices rose nationwide starting this week, pushing up transportation costs across all routes by roughly 5-7%. The cost rise has a clear explanation."
Mumbai-Pune,2025-09-15,3.98,+9.2% vs this route's past average,+23.6% vs similar-length routes this week,No (justified),N003,"Matches note N003: Diesel prices rose nationwide starting this week, pushing up transportation costs across all routes by roughly 5-7%. The cost rise has a clear explanation."
Mumbai-Pune,2025-10-06,3.94,+5.4% vs this route's past average,+22.9% vs similar-length routes this week,No (justified),N003,"Matches note N003: Diesel prices rose nationwide starting this week, pushing up transportation costs across all routes by roughly 5-7%. The cost rise has a clear explanation."
Mumbai-Pune,2025-10-20,4.1,+7.7% vs this route's past average,+24.8% vs similar-length routes this week,No (justified),N003,"Matches note N003: Diesel prices rose nationwide starting this week, pushing up transportation costs across all routes by roughly 5-7%. The cost rise has a clear explanation."
Mumbai-Pune,2025-10-27,4.07,+5.5% vs this route's past average,+28.3% vs similar-length routes this week,No (justified),N003,"Matches note N003: Diesel prices rose nationwide starting this week, pushing up transportation costs across all routes by roughly 5-7%. The cost rise has a clear explanation."
Mumbai-Pune,2025-11-03,4.2,+7.4% vs this route's past average,+24.1% vs similar-length routes this week,No (justified),N003,"Matches note N003: Diesel prices rose nationwide starting this week, pushing up transportation costs across all routes by roughly 5-7%. The cost rise has a clear explanation."
Mumbai-Pune,2025-11-10,3.97,-0.1% vs this route's past average,+21.4% vs similar-length routes this week,No (justified),N003,"Matches note N003: Diesel prices rose nationwide starting this week, pushing up transportation costs across all routes by roughly 5-7%. The cost rise has a clear explanation."
Mumbai-Pune,2025-11-17,4.32,+8.9% vs this route's past average,+31.6% vs similar-length routes this week,No (justified),N003,"Matches note N003: Diesel prices rose nationwide starting this week, pushing up transportation costs across all routes by roughly 5-7%. The cost rise has a clear explanation."
Mumbai-Pune,2025-11-24,4.16,+3.0% vs this route's past average,+23.0% vs similar-length routes this week,No (justified),N003,"Matches note N003: Diesel prices rose nationwide starting this week, pushing up transportation costs across all routes by roughly 5-7%. The cost rise has a clear explanation."
Mumbai-Pune,2025-12-01,4.39,+7.7% vs this route's past average,+37.4% vs similar-length routes this week,No (justified),N003,"Matches note N003: Diesel prices rose nationwide starting this week, pushing up transportation costs across all routes by roughly 5-7%. The cost rise has a clear explanation."
Mumbai-Pune,2025-12-08,4.43,+7.2% vs this route's past average,+38.8% vs similar-length routes this week,No (justified),N003,"Matches note N003: Diesel prices rose nationwide starting this week, pushing up transportation costs across all routes by roughly 5-7%. The cost rise has a clear explanation."
Mumbai-Pune,2025-12-15,4.39,+4.4% vs this route's past average,+35.5% vs similar-length routes this week,No (justified),N003,"Matches note N003: Diesel prices rose nationwide starting this week, pushing up transportation costs across all routes by roughly 5-7%. The cost rise has a clear explanation."
Mumbai-Pune,2025-12-22,4.49,+5.7% vs this route's past average,+38.9% vs similar-length routes this week,No (justified),N003,"Matches note N003: Diesel prices rose nationwide starting this week, pushing up transportation costs across all routes by roughly 5-7%. The cost rise has a clear explanation."
